tipo;unidade_medida;latitude;longitude;localizacao;responsavel;status_operacional;observacao;mac_address
Temperatura;°C;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914102;-47,0681967;A105-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,914102;-47,0681967;A105-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141437;-47,068242;A101-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141437;-47,068242;A101-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9142107;-47,0683976;A106-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9142107;-47,0683976;A106-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141952;-47,0683711;A102-Laboratório de Manufatura;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141952;-47,0683711;A102-Laboratório de Manufatura;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141335;-47,0681984;A103-Laboratório de Informática;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141335;-47,0681984;A103-Laboratório de Informática;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,9141909;-47,0683617;Coordenação curso superior;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,9141952;-47,0683845;Coordenação Pedagógica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9142085;-47,0684187;A108-Laboratório de Comissionamento Virtual;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9142085;-47,0684187;A108-Laboratório de Comissionamento Virtual;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,9141838;-47,0683573;Sala Docentes Faculdade ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141971;-47,0683788;A104-Laboratório de Robótica;Isabela e Murilo;True;;
Umidade;%;-22,9141971;-47,0683788;A104-Laboratório de Robótica;Isabela e Murilo;True;;
Temperatura;°C;-22,9142363;-47,0682188;B201;Isabela e Murilo;True;;
Temperatura;°C;-22,9142706;-47,0682547;B203;Isabela e Murilo;True;;
Temperatura;°C;-22,9142629;-47,0682484;B205;Isabela e Murilo;True;;
Temperatura;°C;-22,9142123;-47,0682095;B207;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141137;-47,0681092;B101;Isabela - Murilo - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,9142987;-47,0681025;B102 Laboratório CAM;Isabela - Murilo - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,914682;-47,068237;B107 Lab Tridimensional;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,91478;-47,06828;Sala Docentes;Nick e Hemmily;True;;
Luminosidade;Lux;-22,914722;-47,06826;Sala OOP(Alex);Nick e Hemmily;True;;
Temperatura;°C;-22,914707;-47,068333;B108 Lab de Projetos;Nick - Hemmily - Vitoria - Manuelly;True;;
Temperatura;°C;-22,91479;-47,068419;B109 Lab de Eletrônica;Nick - Hemmily - Vitoria - Manuelly;True;;
Temperatura;°C;-22,914832;-47,068261;B110  Laboratório Automação Predial;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,915029;-47,068265;B202 Lab Infraestrutura de Redes ;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914647;-47,068247;B204 Lab Acionamento de Máquinas ;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914751;-47,068241;B206 Lab Informática ;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914786;-47,067974;B208 Lab Informática ;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,91489;-47,06802;B210;Nick e Hemmily;True;;
Temperatura;°C;-22,914795;-47,067937;B212;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914759;-47,067967;B214;Nick - Hemmily - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,91498;-47,06771;B216 Sala de Metrologia ;Nick e Hemmily;True;;
Temperatura;°C;-22,91451;-47,06853;Laboratorio de Metrologia 01;Nick e Hemmily;True;;
Temperatura;°C;-22,914557;-47,068442;B105 Laboratório de Ensaios ;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,91442;-47,06836;Sala de OOP;Nick e Hemmily;True;;
Temperatura;°C;-22,91443;-47,06856;B104;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,914342;-47,068688;B213;Nick - Hemmily - Vitoria - Manuelly;True;;
Temperatura;°C;-22,9148;-47,06815;B111;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,91492;-47,06808;Sala OPP;Nick e Hemmily;True;;
Temperatura;°C;-22,914831;-47,067817;B112 CAM;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,91473;-47,06755;Almoxarifado;Nick e Hemmily;True;;
Temperatura;°C;-22,9141786;-47,0684443;A210;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,914278;-47,0685967;A208;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9142033;-47,0684418;A206;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141931;-47,0684307;A204;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141792;-47,0683707;A202;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141557;-47,0683245;A201;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,914139;-47,068297;A203;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,914185;-47,0683134;A205;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141974;-47,0682299;A207;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141718;-47,0682091;A209;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141551;-47,068186;A211;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141489;-47,0681538;A213;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141384;-47,0682031;A215;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141711;-47,0681904;A217;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9141671;-47,0681722;A219;Layra - Marcela - Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9142419;-47,0685102;Espaço Cultural;Layra e Marcela;True;;
Luminosidade;Lux;-22,9142419;-47,0685102;Espaço Cultural;Layra e Marcela;True;;
Contador;;-22,9142978;-47,068584;Espaço Mix (APM);Layra - Marcela - Ana Luiza - Isa Leite;True;;
Contador;;-22,9142786;-47,0687305;Estacionamento;Layra e Marcela;True;;
Contador;;-22,914277;-47,068259;B106 Laboratório Meteologia; Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,914233;-47,068257;Sala OPP Do lado do banheiro masculino da elétrica;;True;;
Contador;;-22,914099;-47,06804;Escada de emergência - Bloco A;Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,91414;-47,06862;Banheiro Masculino Bl A 1o Andar;Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,914065;-47,068299;Banheiro PCD Bl. A 1o Andar;Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,914106;-47,068242;Sala MDI Bl. A 1o Andar;Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,914166;-47,068355;Banheiro Feminino Bl A 1o Andar;Emmanuele - Kamila - Maria Luiza;True;;
Luminosidade;Lux;-22,914167;-47,068359;Lab Manut Equip Informática ;Emmanuele - Kamila - Maria Luiza;True;;
Contador;;-22,914228;-47,068679;Escada de emergência - Bloco A Lado Impar;Emmanuele - Kamila - Maria Luiza;True;;
Contador;;-22,91481;-47,067327;Estacionamento Superior; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,9114536;-47,067675;Pomar em frente ao refeitorio; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,9114536;-47,067675;Pomar em frente ao refeitorio; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914036;-47,067926;Pomar inferior; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,914036;-47,067926;Pomar inferior; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,9140714;-47,067967;Arvore 1; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,9140714;-47,067967;Arvore 1; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914087;-47,067877;Arvore 2 - Paineira; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,914087;-47,067877;Arvore 2 - Paineira; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914241;-47,06777;Arvore 3 - Abiu; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,914241;-47,06777;Arvore 3 - Abiu; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,9114389;-47,067644;Arvore 4 - Ficheira; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,9114389;-47,067644;Arvore 4 - Ficheira; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914927;-47,067913;Meio estacionamento; Ana Luiza - Isa Leite;True;;
Contador;;-22,914076;-47,068552;Entrada Estacionamento Superior; Ana Luiza - Isa Leite;True;;
Contador;;-22,91402;-47,068069;Entrada Manutenção; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914027;-47,069041;Quadra; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914202;-47,068219;B209(mezanino);Vitoria - Manuelly;True;;
Temperatura;°C;-22,914501;-47,068448;MANUTENCÃO;Vitoria - Manuelly;True;;
Temperatura;°C;-22,914315;-47,068266;MANUTENCÃO (EXIMPORT);Vitoria - Manuelly;True;;
Contador;;-22,914171;-47,068303;Biblioteca;Vitoria - Manuelly;True;;
Luminosidade;Lux;-22,9142076;-47,0684641;Banheiro mMsculino Bl A 2o Andar;Betman - Lira - Daniel - Igor;True;;
Luminosidade;Lux;-22,9141931;-47,0683961;Banheiro feminino Bl A 2o Andar;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9143244;-47,0682736;Auditorio Porta do Palco;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9144445;-47,0681991;Auditorio Porta do Público;Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9147055;-47,068425;Refeitório;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9148231;-47,0683801;Entrada da lanchonete;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9148605;-47,0683786;Saída da lanchonete;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9147375;-47,0684123;Refeitório porta ;Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,914715;-47,0684657;Refeitório área ao lado ;Betman - Lira - Daniel - Igor;True;;
Temperatura;°C;-22,9142674;-47,068359;Sala de Impressão 3D - 2 andar Bloco A;Betman - Lira - Daniel - Igor;True;;
Umidade;%;-22,9142674;-47,068359;Sala de Impressão 3D - 2 andar Bloco A;Betman - Lira - Daniel - Igor;True;;
